,index,0,1
83,83,Freiheitliche Partei Österreichs,INVESTITIONSDARLEHEN VON KREDITINSTITUTEN
84,84,BZÖ-Mag. Ewald Stadler,GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS
85,85,Kommunistische Partei Österreichs,GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS
86,86,Unabhängige Bürgerinitiative Rettet Österreich,GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS
87,87,Liberales Forum,REINIGUNGSMITTEL GBG
88,88,Die Christen,REINIGUNGSMITTEL
89,89,Bürgerforum Österreich Liste Fritz Dinkhauser,"SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL"
90,90,Sozialdemokratische Partei Österreichs,DRUCKWERKE
91,91,Österreichische Volkspartei,DRUCKWERKE KOPIERSERVICE - MDPA
92,92,Die Grünen - Die Grüne Alternative,DRUCKWERKE
93,93,Freiheitliche Partei Österreichs,SONSTIGE VERBRAUCHSGÜTER
94,94,BZÖ-Mag. Ewald Stadler,SONSTIGE VERBRAUCHSGÜTER GBG
95,95,Kommunistische Partei Österreichs,GELDBEZÜGE DER BEAMTEN DER VERWALTUNG
96,96,Unabhängige Bürgerinitiative Rettet Österreich,GELDBEZÜGE DER BEAMTEN DER VERWALTUNG
97,97,Liberales Forum,GELDBEZÜGE DER VERTRAGSBEDIENSTETEN DER VERWALTUNG
98,98,Die Christen,GELDBEZÜGE DER VERTRAGSBEDIENSTETEN DER VERWALTUNG
99,99,Bürgerforum Österreich Liste Fritz Dinkhauser,REISEGEBÜHREN
100,100,Sozialdemokratische Partei Österreichs,REISEGEBÜHREN
101,101,Österreichische Volkspartei,SONSTIGE AUFWANDSENTSCHÄDIGUNGEN
102,102,Die Grünen - Die Grüne Alternative,MEHRLEISTUNGSVERGÜTUNGEN
103,103,Freiheitliche Partei Österreichs,SONSTIGE NEBENGEBÜHREN
104,104,BZÖ-Mag. Ewald Stadler,DGB ZUM AUSGLEICHSFONDS FÜR FAMILIENBEIHILFEN
105,105,Kommunistische Partei Österreichs,SONSTIGE DGB ZUR SOZIALEN SICHERHEIT
106,106,Unabhängige Bürgerinitiative Rettet Österreich,SONSTIGE DGB ZUR SOZIALEN SICHERHEIT
107,107,Liberales Forum,FREIWILLIGE SOZIALLEISTUNGEN (NUR BARLEISTUNGEN)
108,108,Die Christen,STROM
109,109,Bürgerforum Österreich Liste Fritz Dinkhauser,WASSER
110,110,Sozialdemokratische Partei Österreichs,WÄRME
111,111,Österreichische Volkspartei,INSTANDH. VON SONSTIGEN GRUNDSTÜCKSEINRICHTUNGEN
112,112,Die Grünen - Die Grüne Alternative,INSTANDH. VON GEBÄUDEN
113,113,Freiheitliche Partei Österreichs,INSTANDH. VON GEBÄUDEN GBG
114,114,BZÖ-Mag. Ewald Stadler,INSTANDH. VON GEBÄUDEN
115,115,Kommunistische Partei Österreichs,INSTANDH. VON GEBÄUDEN
116,116,Unabhängige Bürgerinitiative Rettet Österreich,INSTANDH. VON SONSTIGEN ANLAGEN
117,117,Liberales Forum,INSTANDH. VON SONSTIGEN ANLAGEN GBG
118,118,Die Christen,PERSONEN- UND GÜTERTRANSPORTE
119,119,Bürgerforum Österreich Liste Fritz Dinkhauser,PERSONEN- UND GÜTERTRANSPORTE
120,120,Sozialdemokratische Partei Österreichs,POSTDIENSTE
121,121,Österreichische Volkspartei,TELEKOMMUNIKATIONSDIENSTE
122,122,Die Grünen - Die Grüne Alternative,ZINSEN FÜR FINANZSCHULDEN - INLAND
123,123,Freiheitliche Partei Österreichs,VERSICHERUNGEN
124,124,BZÖ-Mag. Ewald Stadler,VERSICHERUNGEN
125,125,Kommunistische Partei Österreichs,MIETZINSE
126,126,Unabhängige Bürgerinitiative Rettet Österreich,MIETZINSE LEASINGRATEN
127,127,Liberales Forum,MIETZINSE
128,128,Die Christen,MIETZINSE GBG-MIETEN
129,129,Bürgerforum Österreich Liste Fritz Dinkhauser,MIETZINSE
130,130,Sozialdemokratische Partei Österreichs,MIETZINSE
131,131,Österreichische Volkspartei,"ÖFFENTLICHE ABGABEN, OHNE GEBÜHREN GEMÄSS FAG."
132,132,Die Grünen - Die Grüne Alternative,"ÖFFENTLICHE ABGABEN, OHNE GEBÜHREN GEMÄSS FAG."
133,133,Freiheitliche Partei Österreichs,AMTSPAUSCHALIEN UND REPRÄSENTATIONSAUSGABEN
134,134,BZÖ-Mag. Ewald Stadler,AMTSPAUSCHALIEN UND REPRÄSENTATIONSAUSGABEN
135,135,Kommunistische Partei Österreichs,MITGLIEDSBEITRÄGE AN INSTITUTIONEN (IM INLAND)
136,136,Unabhängige Bürgerinitiative Rettet Österreich,MITGLIEDSBEITRÄGE AN INSTITUTIONEN (IM INLAND)
137,137,Liberales Forum,ENTGELTE FÜR SONSTIGE LEISTUNGEN
138,138,Die Christen,ENTGELTE FÜR SONSTIGE LEISTUNGEN
139,139,Bürgerforum Österreich Liste Fritz Dinkhauser,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG
140,140,Sozialdemokratische Partei Österreichs,ENTGELTE FÜR SONSTIGE LEISTUNGEN ITG
141,141,Österreichische Volkspartei,ENTGELTE FÜR SONSTIGE LEISTUNGEN HOLDING
142,142,Die Grünen - Die Grüne Alternative,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG-REINIGUNG
143,143,Freiheitliche Partei Österreichs,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG
144,144,BZÖ-Mag. Ewald Stadler,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG
145,145,Kommunistische Partei Österreichs,ENTGELTE FÜR SONSTIGE LEISTUNGEN
146,146,Unabhängige Bürgerinitiative Rettet Österreich,ENTGELTE FÜR SONSTIGE LEISTUNGEN ITG
147,147,Liberales Forum,ENTGELTE FÜR SONSTIGE LEISTUNGEN ITG
148,148,Die Christen,ENTGELTE FÜR SONSTIGE LEISTUNGEN
149,149,Bürgerforum Österreich Liste Fritz Dinkhauser,ENTGELTE FÜR SONSTIGE LEISTUNGEN EDV-SCHULUNGEN
150,150,Sozialdemokratische Partei Österreichs,"ENTGELTE FÜR SONSTIGE LEISTUNGEN SCHULUNGEN, SUPERVISIONEN"
151,151,Österreichische Volkspartei,ENTGELTE FÜR SONSTIGE LEISTUNGEN
152,152,Die Grünen - Die Grüne Alternative,AMTSAUSSTATTUNG
153,153,Freiheitliche Partei Österreichs,AKTIVIERUNGSFÄHIGE RECHTE
154,154,BZÖ-Mag. Ewald Stadler,INVESTITIONSDARLEHEN VON KREDITINSTITUTEN
155,155,Kommunistische Partei Österreichs,GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS
156,156,Unabhängige Bürgerinitiative Rettet Österreich,GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS ITG
157,157,Liberales Forum,GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS DIENSTKLEIDER
158,158,Die Christen,HANDELSWAREN
159,159,Bürgerforum Österreich Liste Fritz Dinkhauser,TREIBSTOFFE
160,160,Sozialdemokratische Partei Österreichs,SCHMIER- UND SCHLEIFMITTEL
161,161,Österreichische Volkspartei,REINIGUNGSMITTEL
162,162,Die Grünen - Die Grüne Alternative,REINIGUNGSMITTEL GBG
163,163,Freiheitliche Partei Österreichs,CHEMISCHE UND SONSTIGE ARTVERWANDTE MITTEL
164,164,BZÖ-Mag. Ewald Stadler,"SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL"
165,165,Kommunistische Partei Österreichs,"SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL"
166,166,Unabhängige Bürgerinitiative Rettet Österreich,DRUCKWERKE
167,167,Liberales Forum,DRUCKWERKE KOPIERSERVICE - MDPA
168,168,Die Christen,DRUCKWERKE
169,169,Bürgerforum Österreich Liste Fritz Dinkhauser,SONSTIGE VERBRAUCHSGÜTER
170,170,Sozialdemokratische Partei Österreichs,SONSTIGE VERBRAUCHSGÜTER GBG
171,171,Österreichische Volkspartei,GELDBEZÜGE DER BEAMTEN DER VERWALTUNG
172,172,Die Grünen - Die Grüne Alternative,GELDBEZÜGE DER BEAMTEN DER VERWALTUNG
173,173,Freiheitliche Partei Österreichs,GELDBEZÜGE DER BEAMTEN IN HANDWERKLICHER VERWENDUN
174,174,BZÖ-Mag. Ewald Stadler,GELDBEZÜGE DER BEAMTEN IN HANDWERKLICHER VERWENDUN
175,175,Kommunistische Partei Österreichs,GELDBEZÜGE DER VERTRAGSBEDIENSTETEN DER VERWALTUNG
176,176,Unabhängige Bürgerinitiative Rettet Österreich,GELDBEZÜGE DER VERTRAGSBEDIENSTETEN DER VERWALTUNG
177,177,Liberales Forum,GELDBEZÜGE DER VB. IN HANDWERKLICHER VERWENDUNG
178,178,Die Christen,GELDBEZÜGE DER VB. IN HANDWERKLICHER VERWENDUNG
179,179,Bürgerforum Österreich Liste Fritz Dinkhauser,REISEGEBÜHREN PRÄSIDIALFAHRER
180,180,Sozialdemokratische Partei Österreichs,SONSTIGE AUFWANDSENTSCHÄDIGUNGEN
181,181,Österreichische Volkspartei,MEHRLEISTUNGSVERGÜTUNGEN
182,182,Die Grünen - Die Grüne Alternative,MEHRLEISTUNGSVERGÜTUNGEN
183,183,Freiheitliche Partei Österreichs,SONSTIGE NEBENGEBÜHREN
184,184,BZÖ-Mag. Ewald Stadler,DGB ZUM AUSGLEICHSFONDS FÜR FAMILIENBEIHILFEN
185,185,Kommunistische Partei Österreichs,SONSTIGE DGB ZUR SOZIALEN SICHERHEIT
186,186,Unabhängige Bürgerinitiative Rettet Österreich,SONSTIGE DGB ZUR SOZIALEN SICHERHEIT
187,187,Liberales Forum,FREIWILLIGE SOZIALLEISTUNGEN (NUR BARLEISTUNGEN)
188,188,Die Christen,STROM
189,189,Bürgerforum Österreich Liste Fritz Dinkhauser,WASSER
190,190,Sozialdemokratische Partei Österreichs,WÄRME
191,191,Österreichische Volkspartei,INSTANDH. VON SONSTIGEN GRUNDSTÜCKSEINRICHTUNGEN
192,192,Die Grünen - Die Grüne Alternative,INSTANDH. VON GEBÄUDEN
193,193,Freiheitliche Partei Österreichs,INSTANDH. VON GEBÄUDEN GBG
194,194,BZÖ-Mag. Ewald Stadler,INSTANDH. VON GEBÄUDEN
195,195,Kommunistische Partei Österreichs,INSTANDH. VON FAHRZEUGEN
196,196,Unabhängige Bürgerinitiative Rettet Österreich,INSTANDH. VON SONSTIGEN ANLAGEN
197,197,Liberales Forum,PERSONEN- UND GÜTERTRANSPORTE PARK- UND AUTOBAHNGEBÜHREN
198,198,Die Christen,PERSONEN- UND GÜTERTRANSPORTE GBG
199,199,Bürgerforum Österreich Liste Fritz Dinkhauser,PERSONEN- UND GÜTERTRANSPORTE
200,200,Sozialdemokratische Partei Österreichs,POSTDIENSTE
201,201,Österreichische Volkspartei,TELEKOMMUNIKATIONSDIENSTE
202,202,Die Grünen - Die Grüne Alternative,TELEKOMMUNIKATIONSDIENSTE
203,203,Freiheitliche Partei Österreichs,RECHTSKOSTEN
204,204,BZÖ-Mag. Ewald Stadler,ZINSEN FÜR FINANZSCHULDEN - INLAND
205,205,Kommunistische Partei Österreichs,VERSICHERUNGEN
206,206,Unabhängige Bürgerinitiative Rettet Österreich,SCHADENSFÄLLE
207,207,Liberales Forum,MIETZINSE
208,208,Die Christen,MIETZINSE LEASINGRATEN
209,209,Bürgerforum Österreich Liste Fritz Dinkhauser,MIETZINSE
210,210,Sozialdemokratische Partei Österreichs,MIETZINSE
211,211,Österreichische Volkspartei,MIETZINSE KÜNDIGUNGSVERZICHT
212,212,Die Grünen - Die Grüne Alternative,MIETZINSE
213,213,Freiheitliche Partei Österreichs,"ÖFFENTLICHE ABGABEN, OHNE GEBÜHREN GEMÄSS FAG."
214,214,BZÖ-Mag. Ewald Stadler,"ÖFFENTLICHE ABGABEN, OHNE GEBÜHREN GEMÄSS FAG."
215,215,Kommunistische Partei Österreichs,AMTSPAUSCHALIEN UND REPRÄSENTATIONSAUSGABEN
216,216,Unabhängige Bürgerinitiative Rettet Österreich,AMTSPAUSCHALIEN UND REPRÄSENTATIONSAUSGABEN STÄDTETAG 2014
217,217,Liberales Forum,ENTGELTE FÜR SONSTIGE LEISTUNGEN
218,218,Die Christen,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG
219,219,Bürgerforum Österreich Liste Fritz Dinkhauser,ENTGELTE FÜR SONSTIGE LEISTUNGEN ITG
220,220,Sozialdemokratische Partei Österreichs,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG-REINIGUNG
221,221,Österreichische Volkspartei,ENTGELTE FÜR SONSTIGE LEISTUNGEN ITG
222,222,Die Grünen - Die Grüne Alternative,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG
223,223,Freiheitliche Partei Österreichs,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG
224,224,BZÖ-Mag. Ewald Stadler,ENTGELTE FÜR SONSTIGE LEISTUNGEN EINSCHALTUNGEN
225,225,Kommunistische Partei Österreichs,ENTGELTE FÜR SONSTIGE LEISTUNGEN ITG
226,226,Unabhängige Bürgerinitiative Rettet Österreich,ENTGELTE FÜR SONSTIGE LEISTUNGEN
227,227,Liberales Forum,ENTGELTE FÜR SONSTIGE LEISTUNGEN SCHULUNGEN
228,228,Die Christen,ENTGELTE FÜR SONSTIGE LEISTUNGEN RUNDFUNK
229,229,Bürgerforum Österreich Liste Fritz Dinkhauser,ENTGELTE FÜR SONSTIGE LEISTUNGEN VERGABE SOFTWARE
230,230,Sozialdemokratische Partei Österreichs,ENTGELTE FÜR SONSTIGE LEISTUNGEN
231,231,Österreichische Volkspartei,ENTGELTE FÜR SONSTIGE LEISTUNGEN ÜBERSETZUNGEN
232,232,Die Grünen - Die Grüne Alternative,ENTGELTE FÜR SONSTIGE LEISTUNGEN
233,233,Freiheitliche Partei Österreichs,ENTGELTE FÜR SONSTIGE LEISTUNGEN
234,234,BZÖ-Mag. Ewald Stadler,AMTSAUSSTATTUNG
235,235,Kommunistische Partei Österreichs,AMTSAUSSTATTUNG ITG
236,236,Unabhängige Bürgerinitiative Rettet Österreich,AMTSAUSSTATTUNG
237,237,Liberales Forum,INVESTITIONSDARLEHEN VON KREDITINSTITUTEN
238,238,Die Christen,GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS
239,239,Bürgerforum Österreich Liste Fritz Dinkhauser,GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS GBG
240,240,Sozialdemokratische Partei Österreichs,GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS ITG
241,241,Österreichische Volkspartei,BRENNSTOFFE
242,242,Die Grünen - Die Grüne Alternative,REINIGUNGSMITTEL
243,243,Freiheitliche Partei Österreichs,REINIGUNGSMITTEL GBG
244,244,BZÖ-Mag. Ewald Stadler,CHEMISCHE UND SONSTIGE ARTVERWANDTE MITTEL
245,245,Kommunistische Partei Österreichs,"SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL"
246,246,Unabhängige Bürgerinitiative Rettet Österreich,"SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL"
247,247,Liberales Forum,DRUCKWERKE KOPIERSERVICE - MDPA
248,248,Die Christen,DRUCKWERKE
249,249,Bürgerforum Österreich Liste Fritz Dinkhauser,MITTEL ZUR ÄRZTL. BETREUUNG UND GESUNDHEITSVORSORG
250,250,Sozialdemokratische Partei Österreichs,SONSTIGE VERBRAUCHSGÜTER
251,251,Österreichische Volkspartei,SONSTIGE VERBRAUCHSGÜTER GBG
252,252,Die Grünen - Die Grüne Alternative,GELDBEZÜGE DER BEAMTEN DER VERWALTUNG
253,253,Freiheitliche Partei Österreichs,GELDBEZÜGE DER BEAMTEN DER VERWALTUNG
254,254,BZÖ-Mag. Ewald Stadler,GELDBEZÜGE DER VERTRAGSBEDIENSTETEN DER VERWALTUNG
255,255,Kommunistische Partei Österreichs,GELDBEZÜGE DER VERTRAGSBEDIENSTETEN DER VERWALTUNG
256,256,Unabhängige Bürgerinitiative Rettet Österreich,GELDBEZÜGE DER VB. IN HANDWERKLICHER VERWENDUNG
257,257,Liberales Forum,GELDBEZÜGE DER VB. IN HANDWERKLICHER VERWENDUNG
258,258,Die Christen,REISEGEBÜHREN
259,259,Bürgerforum Österreich Liste Fritz Dinkhauser,SONSTIGE AUFWANDSENTSCHÄDIGUNGEN
260,260,Sozialdemokratische Partei Österreichs,SONSTIGE AUFWANDSENTSCHÄDIGUNGEN KILOMETERGELD
261,261,Österreichische Volkspartei,MEHRLEISTUNGSVERGÜTUNGEN
262,262,Die Grünen - Die Grüne Alternative,SONSTIGE NEBENGEBÜHREN
263,263,Freiheitliche Partei Österreichs,DGB ZUM AUSGLEICHSFONDS FÜR FAMILIENBEIHILFEN
264,264,BZÖ-Mag. Ewald Stadler,SONSTIGE DGB ZUR SOZIALEN SICHERHEIT
265,265,Kommunistische Partei Österreichs,SONSTIGE DGB ZUR SOZIALEN SICHERHEIT
266,266,Unabhängige Bürgerinitiative Rettet Österreich,SONSTIGE DGB ZUR SOZIALEN SICHERHEIT
267,267,Liberales Forum,FREIWILLIGE SOZIALLEISTUNGEN (NUR BARLEISTUNGEN)
268,268,Die Christen,STROM
269,269,Bürgerforum Österreich Liste Fritz Dinkhauser,GAS
270,270,Sozialdemokratische Partei Österreichs,WASSER
271,271,Österreichische Volkspartei,WÄRME
272,272,Die Grünen - Die Grüne Alternative,INSTANDH. VON GEBÄUDEN
273,273,Freiheitliche Partei Österreichs,INSTANDH. VON GEBÄUDEN GBG
274,274,BZÖ-Mag. Ewald Stadler,INSTANDH. VON GEBÄUDEN
275,275,Kommunistische Partei Österreichs,INSTANDH. VON GEBÄUDEN
276,276,Unabhängige Bürgerinitiative Rettet Österreich,INSTANDH. VON GEBÄUDEN EIGENNUTZUNG
277,277,Liberales Forum,INSTANDH. VON FAHRZEUGEN
278,278,Die Christen,INSTANDH. VON SONSTIGEN ANLAGEN
279,279,Bürgerforum Österreich Liste Fritz Dinkhauser,PERSONEN- UND GÜTERTRANSPORTE
280,280,Sozialdemokratische Partei Österreichs,POSTDIENSTE
281,281,Österreichische Volkspartei,TELEKOMMUNIKATIONSDIENSTE
282,282,Die Grünen - Die Grüne Alternative,ZINSEN FÜR FINANZSCHULDEN - INLAND
283,283,Freiheitliche Partei Österreichs,VERSICHERUNGEN
284,284,BZÖ-Mag. Ewald Stadler,MIETZINSE
285,285,Kommunistische Partei Österreichs,MIETZINSE
286,286,Unabhängige Bürgerinitiative Rettet Österreich,MIETZINSE FRANKIERMASCHINE
287,287,Liberales Forum,MIETZINSE LEASINGRATEN
288,288,Die Christen,MIETZINSE KUVERTIERUNG-PRÄS
289,289,Bürgerforum Österreich Liste Fritz Dinkhauser,MIETZINSE GBG-MIETEN
290,290,Sozialdemokratische Partei Österreichs,MIETZINSE KÜNDIGUNGSVERZICHT
291,291,Österreichische Volkspartei,MIETZINSE EIGENNUTZUNG
292,292,Die Grünen - Die Grüne Alternative,"ÖFFENTLICHE ABGABEN, OHNE GEBÜHREN GEMÄSS FAG."
293,293,Freiheitliche Partei Österreichs,ENTGELTE FÜR SONSTIGE LEISTUNGEN
294,294,BZÖ-Mag. Ewald Stadler,ENTGELTE FÜR SONSTIGE LEISTUNGEN
295,295,Kommunistische Partei Österreichs,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG
296,296,Unabhängige Bürgerinitiative Rettet Österreich,ENTGELTE FÜR SONSTIGE LEISTUNGEN ITG
297,297,Liberales Forum,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG-REINIGUNG
298,298,Die Christen,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG
299,299,Bürgerforum Österreich Liste Fritz Dinkhauser,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG
